,TrueHost,Method_Counting_parasites,Total_Fish_Examined,Latitude_decimaldegrees,Longitude_decimaldegrees,Standard_Year,Standard_LengthCalc,Portion_of_Body,ID,Wild_Farmed,Standard_Abundance,V2,Standard_StandardDev,FAO
19,Lindbergichthys nudifrons,Microscopy,36,-62.146634,-58.42127,1978.5,13.35,Viscera,1114_Search_1,Wild,0.83,0.836889,0.914816375,48
20,Electrona antarctica,Microscopy,30,-61.179931,-54.914265,1979.5,13.5,Viscera,1114_Search_1,Wild,0,0,0,48
21,Pleuragramma antarctica,Microscopy,10,-62.146634,-58.42127,1978.5,14,Viscera,1114_Search_1,Wild,0,0,0,48
22,Nototheniops nybelini,Microscopy,17,-61.179931,-54.914265,1979.5,18,Viscera,1114_Search_1,Wild,3.53,3.654609002,1.911703168,48
23,Trematomus newnesi,Microscopy,32,-62.146634,-58.42127,1978.5,18.25,Viscera,1114_Search_1,Wild,0.22,5.52E-08,0.000235018,48
24,Chionodraco hamatus,Microscopy,3,-61.179931,-54.914265,1979.5,18.5,Viscera,1114_Search_1,Wild,0,0,0,48
25,Trematomus lepidorhinus,Microscopy,3,-61.179931,-54.914265,1979.5,18.5,Viscera,1114_Search_1,Wild,1,1.01,1.004987562,48
26,Gymnoscopelus nicholsi,Microscopy,3,-62.146634,-58.42127,1978.5,19,Viscera,1114_Search_1,Wild,0,0,0,48
27,Nototheniops nybelini,Microscopy,3,-62.146634,-58.42127,1978.5,19,Viscera,1114_Search_1,Wild,6.33,6.730689006,2.594357147,48
28,Pleuragramma antarctica,Microscopy,10,-61.179931,-54.914265,1979.5,19,Viscera,1114_Search_1,Wild,0,0,0,48
29,Pagetopsis macropterus,Microscopy,2,-61.179931,-54.914265,1979.5,19.5,Viscera,1114_Search_1,Wild,0,0,0,48
30,Acanthodraco dewitti,Microscopy,1,-62.146634,-58.42127,1978.5,21,Viscera,1114_Search_1,Wild,1,0,0,48
31,Lycenchelys aratrirostris,Microscopy,3,-61.179931,-54.914265,1979.5,21.75,Viscera,1114_Search_1,Wild,1,1.01,1.004987562,48
32,Chaenodraco wilsoni,Microscopy,34,-61.179931,-54.914265,1979.5,22.5,Viscera,1114_Search_1,Wild,1.59,1.615281,1.270937056,48
33,Gymnodraco acuticeps,Microscopy,2,-62.146634,-58.42127,1978.5,22.7,Viscera,1114_Search_1,Wild,0,0,0,48
34,Trematomus bernacchii,Microscopy,38,-62.146634,-58.42127,1978.5,23.1,Viscera,1114_Search_1,Wild,4.66,4.877156003,2.208428401,48
35,Muraenolepis microps,Microscopy,1,-61.179931,-54.914265,1979.5,25,Viscera,1114_Search_1,Wild,1,9.90E-07,0.000994987,48
36,Neopagetopsis ionah,Microscopy,2,-61.179931,-54.914265,1979.5,26.25,Viscera,1114_Search_1,Wild,0,0,0,48
37,Trematomus eulepidotus,Microscopy,4,-61.179931,-54.914265,1979.5,27.5,Viscera,1114_Search_1,Wild,1.25,1.265625,1.125,48
38,Trematomus hansoni,Microscopy,28,-62.146634,-58.42127,1978.5,28,Viscera,1114_Search_1,Wild,3,3.090000001,1.757839584,48
39,Gobionotothen gibberifrons,Microscopy,40,-62.146634,-58.42127,1978.5,28.5,Viscera,1114_Search_1,Wild,0.35,0.351225,0.592642388,48
40,Notothenia rossii,Microscopy,73,-62.146634,-58.42127,1978.5,30,Viscera,1114_Search_1,Wild,3.49,3.611801002,1.900473889,48
41,Pogonophryne marmorata,Microscopy,1,-61.179931,-54.914265,1979.5,30,Viscera,1114_Search_1,Wild,13,0,0,48
42,Notolepis sp,Microscopy,2,-61.179931,-54.914265,1979.5,31.5,Viscera,1114_Search_1,Wild,0,0,0,48
43,Cryodraco antarcticus,Microscopy,3,-61.179931,-54.914265,1979.5,33.5,Viscera,1114_Search_1,Wild,1,6.00E-08,0.000244967,48
44,Cryodraco antarcticus,Microscopy,1,-62.146634,-58.42127,1978.5,35.5,Viscera,1114_Search_1,Wild,7,0,0,48
45,Champsocephalus gunnari,Microscopy,16,-62.146634,-58.42127,1978.5,36.35,Viscera,1114_Search_1,Wild,0.185,0.18534225,0.430513937,48
46,Chionodraco rastrospinosus,Microscopy,7,-62.146634,-58.42127,1978.5,36.5,Viscera,1114_Search_1,Wild,7.29,7.821441008,2.796683931,48
47,Notothenia coriiceps,Microscopy,308,-62.146634,-58.42127,1978.5,37,Viscera,1114_Search_1,Wild,9.03,9.845409012,3.137739475,48
48,Champsocephalus gunnari,Microscopy,40,-61.179931,-54.914265,1979.5,37.25,Viscera,1114_Search_1,Wild,0,0,0,48
49,Lepidonotothen squamifrons,Microscopy,15,-61.179931,-54.914265,1979.5,37.5,Viscera,1114_Search_1,Wild,0.07,1.02E-08,0.000101169,48
50,Gobionotothen gibberifrons,Microscopy,42,-61.179931,-54.914265,1979.5,37.5,Viscera,1114_Search_1,Wild,0.88,0.887744,0.942201677,48
51,Chionodraco rastrospinosus,Microscopy,13,-61.179931,-54.914265,1979.5,38.25,Viscera,1114_Search_1,Wild,0.46,1.51E-07,0.000388736,48
52,Chaenocephalus aceratus,Microscopy,20,-62.146634,-58.42127,1978.5,43.6,Viscera,1114_Search_1,Wild,144.05,351.5540281,18.74977408,48
53,Notothenia rossii,Microscopy,16,-61.179931,-54.914265,1979.5,44,Viscera,1114_Search_1,Wild,56.81,89.08376148,9.438419438,48
54,Pseudochaenichthys georgianus,Microscopy,1,-61.179931,-54.914265,1979.5,51,Viscera,1114_Search_1,Wild,0,0,0,48
55,Dissostichus mawsoni,Microscopy,4,-61.179931,-54.914265,1979.5,52.5,Viscera,1114_Search_1,Wild,25.5,32.0025001,5.657075225,48
56,Micromesistius australis,Microscopy,8,-61.179931,-54.914265,1979.5,53,Viscera,1114_Search_1,Wild,0,0,0,48
57,Chaenocephalus aceratus,Microscopy,49,-61.179931,-54.914265,1979.5,59,Viscera,1114_Search_1,Wild,19.53,23.34420906,4.831584529,48
58,Dissostichus mawsoni,Microscopy,1,-62.146634,-58.42127,1978.5,70,Viscera,1114_Search_1,Wild,11,0,0,48
59,Merluccius hubbsi,Candling and Microscopy,83,-41.91666667,-64.41666667,1999,35.16012,Whole,112_Search_1,Wild,0,0,0,41
60,Merluccius hubbsi,Candling and Microscopy,115,-46.5,-61.75,1999,36.27819,Whole,112_Search_1,Wild,0,0,0,41
61,Merluccius hubbsi,Candling and Microscopy,80,-46.5,-66.5,1998,36.68724,Whole,112_Search_1,Wild,0,0,0,41
62,Merluccius hubbsi,Candling and Microscopy,66,-36.75,-54.75,1993,36.84177,Whole,112_Search_1,Wild,0,0,0,41
63,Gadus morhua,Microscopy,111,47.205845,-63.800103,2004.5,33.09435,Whole,1200_Search_1,Wild,2.3,6.3936,2.528556901,21
64,Gadus morhua,Microscopy,127,46.005122,-58.663269,2006,33.3141,Whole,1200_Search_1,Wild,3.5,17.3863,4.169688238,21
65,Gadus morhua,Microscopy,110,46.859401,-61.512767,2004.5,33.47232,Whole,1200_Search_1,Wild,4.2,27.5,5.244044241,21
66,Gadus morhua,Microscopy,122,46.615552,-60.098007,2006,33.7536,Whole,1200_Search_1,Wild,4.2,22.5578,4.749505237,21
67,Harpagifer antarcticus,Microscopy,44,-62.143769,-58.443661,1997,6.4,Viscera,1235_Search_1,Wild,0.0931,0.093186676,0.305264928,48
68,Harpagifer antarcticus,Microscopy,6,-61.175001,-55.006329,1986,7.78,Viscera,1235_Search_1,Wild,3.154,3.253477161,1.803739771,48
69,Reinhardtius hippoglossoides,Microscopy,94,74.83333333,15.19666667,2006,59,Whole,1280_Search_1,Wild,0.222,0.22249284,0.471691467,27
70,Gadus morhua,Microscopy,82,54.25833333,14.54166667,2002,37.06,Viscera,1298_Search_1,Wild,0.98,3.946740941,1.986640617,27
71,Gadus morhua,Microscopy,60,73.5,19.03333333,2002,42.068,Viscera,1298_Search_1,Wild,0.02,0.039046231,0.197601191,27
72,Centrophorus squamosus,Microscopy,57,32.37222222,-16.275,2009.5,111.4,Viscera,1371_Search_1,Wild,0.0145,8.15E-09,9.03E-05,34
73,Pagrus pagrus,Microscopy,100,-22.87861111,-42.02,2012,24.43495,Viscera,1373_Search_1,Wild,0,0,0,41
74,Lindbergichthys nudifrons,Microscopy,61,-62.698214,-59.238569,1996,12,Viscera,138_Search_1,Wild,0.43,0.431849,0.657152189,48
75,Nototheniops larseni,Microscopy,72,-62.698214,-59.238569,1996,15,Viscera,138_Search_1,Wild,3.76,3.901376002,1.975190118,48
76,Lepidonotothen squamifrons,Microscopy,31,-62.698214,-59.238569,1996,17.5,Viscera,138_Search_1,Wild,0.55,0.553025,0.743656507,48
77,Parachaenichthys charcoti,Microscopy,12,-62.698214,-59.238569,1996,18.5,Viscera,138_Search_1,Wild,4.98,5.228004004,2.286482889,48
78,Trematomus eulepidotus,Microscopy,27,-62.698214,-59.238569,1996,23,Viscera,138_Search_1,Wild,0.22,0.220484,0.469557238,48
79,Muraenolepis microps,Microscopy,12,-62.698214,-59.238569,1996,28.706,Viscera,138_Search_1,Wild,5,5.250000004,2.291287848,48
80,Gobionotothen gibberifrons,Microscopy,12,-62.698214,-59.238569,1996,32.5735,Viscera,138_Search_1,Wild,1.5,1.5225,1.233896268,48
81,Notothenia coriiceps,Microscopy,20,-62.698214,-59.238569,1996,34.671,Viscera,138_Search_1,Wild,30.4,39.64160014,6.296157569,48
82,Chaenocephalus aceratus,Microscopy,41,-62.698214,-59.238569,1996,35.5,Viscera,138_Search_1,Wild,52.25,79.55062541,8.91911573,48
83,Chionodraco rastrospinosus,Microscopy,20,-62.698214,-59.238569,1996,36.5,Viscera,138_Search_1,Wild,1.75,1.780625,1.334400615,48
84,Paradiplospinus gracilis,Microscopy,11,-62.698214,-59.238569,1996,39.099322,Viscera,138_Search_1,Wild,0.09,0.090081,0.30013497,48
85,Pseudochaenichthys georgianus,Microscopy,3,-62.698214,-59.238569,1996,40.848,Viscera,138_Search_1,Wild,25.74,4.04E-05,0.006352572,48
86,Aphos porosus,Microscopy,22,-32.45,-71.63333333,1999,23.6,Whole,1412_Search_1,Wild,1,1.5129,1.23,87
87,Aphos porosus,Microscopy,49,-32.45,-71.63333333,2007,25.1,Whole,1412_Search_1,Wild,2,6.4009,2.53,87
88,Aphos porosus,Microscopy,30,-32.45,-71.63333333,2006,26.8,Whole,1412_Search_1,Wild,4.27,30.0304,5.48,87
89,Hippoglossoides platessoides,Microscopy,128,46.576033,-60.220958,2004,22.17,Whole,1417_Search_1,Wild,1.77,4.1472,2.03646753,21
90,Hippoglossoides platessoides,Microscopy,95,46.442226,-61.670575,2004,32.31,Whole,1417_Search_1,Wild,1.34,1.6055,1.267083265,21
91,Hippoglossoides platessoides,Microscopy,137,47.406599,-63.976319,2004,32.34,Whole,1417_Search_1,Wild,1.5,1.9728,1.404563989,21
92,Hippoglossoides platessoides,Microscopy,77,45.772401,-59.136008,2004,32.88,Whole,1417_Search_1,Wild,0.97,1.7325,1.316244658,21
93,Hippoglossoides platessoides,Microscopy,46,46.39974,-59.580972,2004,35.5,Whole,1417_Search_1,Wild,1.4,4.7104,2.170345595,21
94,Myoxocephalus scorpius,Candling,71,65.023132,-13.957015,1992,23.37323944,Whole,1430_Search_1,Wild,95.2,9840.64,99.2,27
95,Myoxocephalus scorpius,Candling,71,65.023132,-13.957015,1999,25.9084507,Whole,1430_Search_1,Wild,40,1645.9249,40.57,27
96,Myoxocephalus scorpius,Candling,104,65.023132,-13.957015,1996,27.43269231,Whole,1430_Search_1,Wild,67.6,4303.36,65.6,27
97,Mallotus villosus,Microscopy,25,48.38083,-64.57198,1994,13.39153326,Whole,1447_Search_1,Wild,0.04,9.60E-09,9.80E-05,21
98,Mallotus villosus,Microscopy,25,50.168392,-66.14786,1994,13.8209211,Whole,1447_Search_1,Wild,0,0,0,21
99,Mallotus villosus,Microscopy,25,48.04404,-69.41634,1994,13.9103769,Whole,1447_Search_1,Wild,0,0,0,21
100,Mallotus villosus,Microscopy,25,50.246113,-63.65759,1994,13.9103769,Whole,1447_Search_1,Wild,0,0,0,21
101,Mallotus villosus,Microscopy,25,51.515545,-57.354084,1994,14.0445606,Whole,1447_Search_1,Wild,0,0,0,21
102,Osmerus eperlanus,Candling and Microscopy,501,53.911564,8.734649,2010,15.1446516,Whole,1513_Search_1,Wild,1.1,1.304144107,1.14199129,27
103,Epinephelus morio,Microscopy,23,21.1703,-90.1377,1995.5,25,Whole,155_Search_1,Wild,0.08,3.53E-08,0.000187957,31
104,Epinephelus morio,Microscopy,25,21.259588,-89.805985,1995.5,26.5,Whole,155_Search_1,Wild,0.58,0.583364,0.763782692,31
105,Epinephelus morio,Microscopy,7,21.299262,-89.608172,1995.5,28.5,Whole,155_Search_1,Wild,0,0,0,31
106,Epinephelus morio,Microscopy,38,21.3038,-89.8575,1995.5,29,Whole,155_Search_1,Wild,1.2,1.2144,1.101998185,31
107,Epinephelus morio,Microscopy,27,21.6679,-88.0597,1995.5,30.5,Whole,155_Search_1,Wild,0,0,0,31
108,Epinephelus morio,Microscopy,27,20.8536,-90.3963,1995.5,34.5,Whole,155_Search_1,Wild,2.87,2.952369001,1.718245908,31
109,Epinephelus morio,Microscopy,21,21.6815,-87.2901,1995.5,37.5,Whole,155_Search_1,Wild,0.1,3.99E-08,0.00019975,31
110,Epinephelus morio,Microscopy,4,21.3863,-89.6186,1995.5,39,Whole,155_Search_1,Wild,1.7,1.7289,1.31487642,31
111,Epinephelus morio,Microscopy,13,19.9372,-90.4857,1995.5,46.5,Whole,155_Search_1,Wild,0,0,0,31
112,Epinephelus morio,Microscopy,17,21.4699,-89.1302,1995.5,50.5,Whole,155_Search_1,Wild,0,0,0,31
113,Syacium gunteri,Microscopy,203,28.659693,-88.681367,2005,11.94,Viscera,1626_Search_1,Wild,3.1,27.7729,5.27,31
114,Congiopodus peruvianus,Microscopy,15,-45.03333333,-62.78333333,2006.5,20.1138576,Whole,1640_Search_1,Wild,0,0,0,41
115,Mullus argentinae,Microscopy,2,-45.03333333,-62.78333333,2006.5,20.7,Whole,1640_Search_1,Wild,1,0,0,41
116,Raneya brasiliensis,Microscopy,16,-45.03333333,-62.78333333,2006.5,21.2,Whole,1640_Search_1,Wild,0,0,0,41
117,Prionotus nudigula,Microscopy,32,-45.03333333,-62.78333333,2006.5,23.1,Whole,1640_Search_1,Wild,16.2,184.0066639,13.5649056,41
118,Patagonotothen ramsayi,Microscopy,84,-45.03333333,-62.78333333,2006.5,24.9,Whole,1640_Search_1,Wild,0,0,0,41
119,Merluccius hubbsi,Microscopy,79,-45.03333333,-62.78333333,2006.5,25.5429,Whole,1640_Search_1,Wild,0,0,0,41
120,Nemadactylus bergi,Microscopy,32,-45.03333333,-62.78333333,2006.5,25.6,Whole,1640_Search_1,Wild,0,0,0,41
121,Pseudopercis semifasciata,Microscopy,31,-45.03333333,-62.78333333,2006.5,26.5,Whole,1640_Search_1,Wild,0.4,0.322782174,0.568139221,41
122,Paralichthys isosceles,Microscopy,15,-45.03333333,-62.78333333,2006.5,27.2,Whole,1640_Search_1,Wild,0.7,9.995835069,3.161619058,41
123,Stromateus brasiliensis,Microscopy,73,-45.03333333,-62.78333333,2006.5,27.5,Whole,1640_Search_1,Wild,0,0,0,41
124,Helicolenus lahillei,Microscopy,6,-45.03333333,-62.78333333,2006.5,28.8,Whole,1640_Search_1,Wild,0,0,0,41
125,Acanthistius patachonicus,Microscopy,16,-45.03333333,-62.78333333,2006.5,30,Whole,1640_Search_1,Wild,0.9,8.163265306,2.857142857,41
126,Cottoperca gobio,Microscopy,8,-45.03333333,-62.78333333,2006.5,30.2,Whole,1640_Search_1,Wild,0.5,0,0,41
127,Xystreurys rasile,Microscopy,29,-45.03333333,-62.78333333,2006.5,32.8,Whole,1640_Search_1,Wild,0,0,0,41
128,Seriolella porosa,Microscopy,34,-45.03333333,-62.78333333,2006.5,33,Whole,1640_Search_1,Wild,0,0,0,41
129,Scomber japonicus,Microscopy,13,-45.03333333,-62.78333333,2006.5,37.563,Whole,1640_Search_1,Wild,0.1,0,0,41
130,Genypterus blacodes,Microscopy,44,-45.03333333,-62.78333333,2006.5,37.9532,Whole,1640_Search_1,Wild,0,0,0,41
131,Brama brama,Microscopy,2,-45.03333333,-62.78333333,2006.5,41.745,Whole,1640_Search_1,Wild,0,0,0,41
132,Percophis brasiliensis,Microscopy,8,-45.03333333,-62.78333333,2006.5,41.873961,Whole,1640_Search_1,Wild,8.4,9.105600011,3.017548676,41
133,Macruronus magellanicus,Microscopy,3,-45.03333333,-62.78333333,2006.5,52.6743,Whole,1640_Search_1,Wild,0,0,0,41
134,Sebastes mentella,Microscopyand UV,40,63.44966667,-39.12583333,2009,32.3,Whole,1764_Search_1,Wild,0.3,0.0256,0.16,27
135,Sebastes mentella,Microscopyand UV,40,62.07116667,-0.010166667,2012,32.3,Whole,1764_Search_1,Wild,0.08,0.0729,0.27,27
136,Sebastes mentella,Microscopyand UV,40,74.112,16.42016667,2012,32.3,Whole,1764_Search_1,Wild,0.13,0.16,0.4,27
137,Anguilla anguilla,Candling,1778,53.90212,8.81712,1987.5,48.5,Fillet,178_Search_1,Wild,0.0999,0.0999998,0.31622745,27
138,Reinhardtius hippoglossoides,Microscopy,100,65.025,-56.275,1988,57,alimentary tract,187_Search_1,Wild,0,0,0,21
139,Reinhardtius hippoglossoides,Microscopy,100,49.68402778,-51.02736111,1987,57.5,alimentary tract,187_Search_1,Wild,0,0,0,21
140,Reinhardtius hippoglossoides,Microscopy,100,70.63444444,-51.46777778,1987,61.5,alimentary tract,187_Search_1,Wild,0.03,2.91E-08,0.000170587,21
141,Reinhardtius hippoglossoides,Microscopy,100,64.07638889,-51.70027778,1987,63.5,alimentary tract,187_Search_1,Wild,0,0,0,21
142,Reinhardtius hippoglossoides,Microscopy,100,64.41666667,-32.1,1987,64,alimentary tract,187_Search_1,Wild,0.18,0.930261298,0.964500543,27
143,Reinhardtius hippoglossoides,Microscopy,100,60.65861111,-45.34194444,1988,66.5,alimentary tract,187_Search_1,Wild,0.02,3.96E-08,0.000198997,21
144,Reinhardtius hippoglossoides,Candling,100,65.025,-56.275,1988,57,Fillet,187_Search_1,Wild,0.01,9.90E-09,9.95E-05,21
145,Reinhardtius hippoglossoides,Candling,100,49.68402778,-51.02736111,1987,57.5,Fillet,187_Search_1,Wild,0,0,0,21
146,Reinhardtius hippoglossoides,Candling and Microscopy,100,70.63444444,-51.46777778,1987,61.5,Fillet,187_Search_1,Wild,0.01,9.90E-09,9.95E-05,21
147,Reinhardtius hippoglossoides,Candling and Microscopy,100,64.07638889,-51.70027778,1987,63.5,Fillet,187_Search_1,Wild,0,0,0,21
148,Reinhardtius hippoglossoides,Candling and Microscopy,100,64.41666667,-32.1,1987,64,Fillet,187_Search_1,Wild,0.04,3.84E-08,0.000195959,27
149,Reinhardtius hippoglossoides,Candling and Microscopy,100,60.65861111,-45.34194444,1988,66.5,Fillet,187_Search_1,Wild,0.1001,0.043222543,0.20790032,21
150,Sebastes miniatus,Microscopy,210,30.56027778,-115.9425,2005,38.0960232,Whole,1997_Search_1,Wild,0.2,8.4,2.898275349,77
151,Hippoglossus hippoglossus,Microscopy,12,59.074986,0.505428,2012,52.7996,Whole,2014_Search_1,Wild,0,0,0,27
152,Thyrsites atun,Microscopy,91,-33.837482,17.826129,2013.5,69.66896695,Whole,2033_Search_1,Wild,0.3,0.8649,0.93,47
153,Thyrsites atun,Microscopy,119,-34.905534,21.460976,2013.5,69.66896695,Whole,2033_Search_1,Wild,1.3,7.6729,2.77,47
154,Macrourus berglax,Microscopy,35,60.72127822,-38.28282311,2002,6.1,Viscera,204_Search_1,Wild,0.7889,0.795123632,0.891697052,27
155,Lampanyctus macdonaldi,Microscopy,45,60.72127822,-38.28282311,2002,13,Viscera,204_Search_1,Wild,0,0,0,27
156,Argentina silus,Microscopy,40,60.72127822,-38.28282311,2002,13.4,Viscera,204_Search_1,Wild,0,0,0,27
157,Bathylagus euryops,Microscopy,68,60.72127822,-38.28282311,2002,14,Viscera,204_Search_1,Wild,0,0,0,27
158,Chauliodus sloani,Microscopy,21,60.72127822,-38.28282311,2002,21.3,Viscera,204_Search_1,Wild,0,0,0,27
159,Borostomias antarcticus,Microscopy,10,60.72127822,-38.28282311,2002,23.8,Viscera,204_Search_1,Wild,0,0,0,27
160,Sebastes miniatus,Microscopy,210,30.41611111,-115.9808333,2005,37.571766,Viscera,2082_Search_1,Wild,0.2,0.04,0.2,77
161,Reinhardtius hippoglossoides,Microscopy,30,54.41666667,-56.13333333,1990,40.0065,Whole,422_Search_1,Wild,0.033,9.57E-09,9.78E-05,21
162,Reinhardtius hippoglossoides,Microscopy,30,53.03333333,-52.73333333,1990,40.096,Whole,422_Search_1,Wild,0,0,0,21
163,Reinhardtius hippoglossoides,Microscopy,29,49.78333333,-65.70833333,1990,42.59305,Whole,422_Search_1,Wild,0.3784,0.07573524,0.275200363,21
164,Reinhardtius hippoglossoides,Microscopy,30,48.33333333,-70.51666667,1991,43.63125,Whole,422_Search_1,Wild,0.9495,0.324558247,0.569700138,21
165,Reinhardtius hippoglossoides,Microscopy,30,49.7,-62.18333333,1990,44.22195,Whole,422_Search_1,Wild,0.2004,0.0044623,0.06680045,21
166,Reinhardtius hippoglossoides,Microscopy,21,48.74166667,-68.375,1990,47.5245,Whole,422_Search_1,Wild,1.6983,0.638721853,0.799200759,21
167,Reinhardtius hippoglossoides,Microscopy,30,49.80833333,-58.44166667,1990,48.07045,Whole,422_Search_1,Wild,0.17,0.003600078,0.06000065,21
168,Reinhardtius hippoglossoides,Microscopy,30,65.78333333,-66.08333333,1990,61.576,Whole,422_Search_1,Wild,0,0,0,21
169,Pseudopleuronectes americanus,Microscopy,48,43.90436,-60.739746,1996,22.00688,Whole,441_Search_1,Wild,0,0,0,21
170,Pseudopleuronectes americanus,Microscopy,50,44.104004,-66.34664,1996,24.45296,Whole,441_Search_1,Wild,0,0,0,21
171,Pseudopleuronectes americanus,Microscopy,41,42.759567,-66.031395,1996,25.8328,Whole,441_Search_1,Wild,0.36,1.3284,1.152562363,21
172,Pseudopleuronectes americanus,Microscopy,50,42.065193,-66.61719,1996,33.28864,Whole,441_Search_1,Wild,0,0,0,21
173,Hippoglossoides platessoides,Microscopy,121,49.83792,-62.95819,1990,24.3,Whole,484_Search_1,Wild,0.2,0.4356,0.66,21
174,Hippoglossoides platessoides,Microscopy,100,49.5716,-64.19847,1992,27.5,Whole,484_Search_1,Wild,0,0,0,21
175,Hippoglossoides platessoides,Microscopy,100,48.31811,-58.95919,1992,28.4,Whole,484_Search_1,Wild,0,0,0,21
176,Hippoglossoides platessoides,Microscopy,124,46.00586,-61.724632,1992,30.4,Whole,484_Search_1,Wild,0.89,3.1744,1.781684596,21
177,Hippoglossoides platessoides,Microscopy,129,49.5716,-64.19847,1992,31.1,Whole,484_Search_1,Wild,0.26,0.6321,0.795047168,21
178,Gadus morhua,Microscopy,83,49.636528,-64.39772,1992,31.3,Whole,484_Search_1,Wild,0.3,0.5312,0.728834686,21
179,Hippoglossoides platessoides,Microscopy,160,47.52634,-62.990654,1992,34.5,Whole,484_Search_1,Wild,0.35,0.784,0.885437745,21
180,Gadus morhua,Microscopy,211,49.773075,-62.7341,1990,35.1,Whole,484_Search_1,Wild,2.2,14.2636,3.776718152,21
181,Hippoglossoides platessoides,Microscopy,127,49.958706,-66.15172,1992,35.9,Whole,484_Search_1,Wild,0.25,0.3175,0.563471383,21
182,Hippoglossoides platessoides,Microscopy,105,48.752674,-63.96876,1992,37.1,Whole,484_Search_1,Wild,0.52,0.5145,0.717286554,21
183,Gadus morhua,Microscopy,137,45.858402,-61.698685,1992,37.6,Whole,484_Search_1,Wild,1.57,4.9457,2.223892983,21
184,Gadus morhua,Microscopy,90,46.791153,-62.21497,1990,38.8,Whole,484_Search_1,Wild,2.04,3.249,1.802498266,21
185,Gadus morhua,Microscopy,115,45.85844,-61.686264,1990,39.6,Whole,484_Search_1,Wild,2.94,12.5235,3.538855747,21
186,Hippoglossoides platessoides,Microscopy,105,48.51526,-63.88003,1992,41.9,Whole,484_Search_1,Wild,0.09,0.168,0.409878031,21
187,Gadus morhua,Microscopy,255,49.636528,-64.39772,1992,44.1,Whole,484_Search_1,Wild,0.62,1.2495,1.11781036,21
188,Gadus morhua,Microscopy,118,47.550243,-63.202015,1992,45,Whole,484_Search_1,Wild,0.81,1.4278,1.194905854,21
189,Gadus morhua,Microscopy,75,48.276566,-59.132797,1992,45.9,Whole,484_Search_1,Wild,0.45,1.08,1.039230485,21
190,Gadus morhua,Microscopy,110,48.160873,-64.47368,1992,50.2,Whole,484_Search_1,Wild,1.19,1.584,1.258570618,21
191,Gadus morhua,Microscopy,131,49.966175,-66.37538,1992,50.7,Whole,484_Search_1,Wild,0.56,0.8384,0.915641851,21
192,Dolloidraco longedorsalis,Microscopy,37,-76.985912,-38.60117,1986.5,9,Whole,486_Search_1,Wild,0.081,8.75E-08,0.000295774,48
193,Trematomus scotti,Microscopy,69,-76.985912,-38.60117,1986.5,9.8,Whole,486_Search_1,Wild,0.348,0.34921104,0.590940809,48
194,Trematomus lepidorhinus,Microscopy,33,-76.985912,-38.60117,1986.5,17.6,Whole,486_Search_1,Wild,0.03,9.60E-09,9.80E-05,48
