,TrueHost,Method_Counting_parasites,Total_Fish_Examined,Latitude_decimaldegrees,Longitude_decimaldegrees,Standard_Year,Standard_LengthCalc,Portion_of_Body,ID,Wild_Farmed,Standard_Abundance,V2,Standard_StandardDev,FAO
18,Salmo trutta,Microscopy,30,54.963489,-3.183073,2007,25.7,Whole,1029_Search_1,Wild,0,0,0,27
19,Salmo trutta,Microscopy,30,57.405015,-5.465508,2007,30.8,Whole,1029_Search_1,Wild,0.07,0.075,0.273861279,27
20,Salmo trutta,Microscopy,30,56.830045,-2.663867,2006,44,Whole,1029_Search_1,Wild,9.5,104.907,10.24241183,27
21,Salmo trutta,Microscopy,30,56.072197,-3.745315,2007,45.7,Whole,1029_Search_1,Wild,27.23,954.288,30.89155224,27
22,Salmo trutta,Microscopy,28,56.830045,-2.663867,2007,45.8,Whole,1029_Search_1,Wild,22.47,906.5308,30.10864992,27
23,Salmo trutta,Microscopy,32,56.072197,-3.745315,2006,46.6,Whole,1029_Search_1,Wild,43,3561.68,59.67981233,27
24,Salmo trutta,Microscopy,30,56.965407,-2.198439,2006,48,Whole,1029_Search_1,Wild,5.91,45.387,6.736987457,27
25,Trisopterus luscus,Digestion,139,45.369249,-4.444915,1999,18.6,Whole,1034_Search_1,Wild,3.52,6351.9664,79.69922459,27
26,Gaidropsarus granti,Microscopy,1,40.065,9.778333333,2007,28.7,Viscera,1035_Search_1,Wild,2,0,0,37
27,Arctogadus glacialis,Microscopy,25,75.4,-11.75,2003,13.2,Viscera,1036_Search_1,Wild,0,0,0,27
28,Boreogadus saida,Microscopy,50,70.5,-25.45,2005,16.6,Viscera,1036_Search_1,Wild,0.04,1.92E-08,0.000138564,27
29,Arctogadus glacialis,Microscopy,75,71.15,-24.95,2005,17.7,Viscera,1036_Search_1,Wild,0.195,0.19538025,0.442018382,27
30,Arctogadus glacialis,Microscopy,50,75.64166667,-65.81666667,2004,19.5,Viscera,1036_Search_1,Wild,0,0,0,21
31,Arctogadus glacialis,Microscopy,5,70.68333333,-51.93333333,2000,37,Viscera,1036_Search_1,Wild,0,0,0,21
32,Citharichthys sordidus,Microscopy,47,33.85472167,-118.438055,1999,8.39,Whole,1043_Search_1,Wild,1.8406773,2.174275469,1.474542461,77
33,Citharichthys sordidus,Microscopy,60,33.91166667,-118.55,1999,9.32,Whole,1043_Search_1,Wild,0.9312365,0.987772414,0.993867403,77
34,Citharichthys sordidus,Microscopy,30,33.9075,-118.524445,1999,10.18,Whole,1043_Search_1,Wild,1.3085234,0.467007376,0.683379379,77
35,Citharichthys sordidus,Microscopy,55,33.98972167,-118.600555,1999,10.51,Whole,1043_Search_1,Wild,2.9899175,3.971545421,1.992873659,77
36,Citharichthys sordidus,Microscopy,42,33.928055,-118.5347217,1999,10.58,Whole,1043_Search_1,Wild,1.637816,17.63836478,4.199805326,77
37,Citharichthys sordidus,Microscopy,45,33.99722167,-118.7175,1999,11.1,Whole,1043_Search_1,Wild,1.3900021,0.698331004,0.835662016,77
38,Sebastes mentella,Microscopy,50,49.2,-59.75,1992,26.292,Whole,1064_Search_1,Wild,0.864,1.498177182,1.224000483,21
39,Sebastes fasciatus,Microscopy,50,49.2,-59.75,1992,31.1,Whole,1064_Search_1,Wild,0.646,0.28302434,0.53200032,21
40,Sebastes mentella,Digestion and UV,100,63.553651,-39.951318,2012,36,Whole,1087_Search_1,Wild,4.4,31.36,5.6,27
41,Sebastes mentella,Digestion and UV,100,74.304876,17.678572,2012,37,Whole,1087_Search_1,Wild,12.3,278.89,16.7,27
42,Sebastes mentella,Digestion and UV,100,60.929597,-0.590206,2012,40,Whole,1087_Search_1,Wild,12.2,380.25,19.5,27
43,Engraulis encrasicolus,Candling,150,44.05,9.1,2012,9.222066667,Whole,1088_Search_1,Wild,0,0,0,37
44,Engraulis encrasicolus,Candling,150,44.05,9.1,2012,9.6704,Whole,1088_Search_1,Wild,0.013,1.92E-08,0.000138732,37
45,Engraulis encrasicolus,Candling,450,44.05,9.1,2012,9.6704,Whole,1088_Search_1,Wild,0.011,4.90E-08,0.000221259,37
46,Sardina pilchardus,Candling,150,44.05,9.1,2012,10.25325576,Whole,1088_Search_1,Wild,0,0,0,37
47,Engraulis encrasicolus,Candling,150,44.05,9.1,2012,10.56706667,Whole,1088_Search_1,Wild,0,0,0,37
48,Sardina pilchardus,Candling,150,44.05,9.1,2012,10.9310404,Whole,1088_Search_1,Wild,0,0,0,37
49,Engraulis encrasicolus,Candling,150,44.05,9.1,2012,11.0154,Whole,1088_Search_1,Wild,0.007,1.04E-08,0.00010211,37
50,Sardina pilchardus,Candling,150,44.05,9.1,2012,11.3546558,Whole,1088_Search_1,Wild,0,0,0,37
51,Sardina pilchardus,Candling,150,44.05,9.1,2012,12.2018866,Whole,1088_Search_1,Wild,0,0,0,37
52,Sardina pilchardus,Candling,150,44.05,9.1,2012,13.0491174,Whole,1088_Search_1,Wild,0,0,0,37
53,Xiphias gladius,Microscopy,40,39,18,2003,84.39837575,Viscera,1091_Search_1,Wild,34.026,16.22519468,4.028050978,37
54,Xiphias gladius,Microscopy,85,41.98333333,10,2003,90.59986375,Viscera,1091_Search_1,Wild,1.924,2.633516487,1.622811291,37
55,Xiphias gladius,Microscopy,37,38.1,11.43333333,2003,123.1576758,Viscera,1091_Search_1,Wild,0.8225,0.265789517,0.515547783,37
56,Sprattus sprattus,Microscopy,35,2,-3,2005.5,9,Viscera,1102_Search_1,Wild,0.3598,0.36109456,0.600911441,34
57,Sprattus sprattus,Microscopy,28,50,1,2005.5,9.5,Viscera,1102_Search_1,Wild,0,0,0,27
58,Sprattus sprattus,Microscopy,32,55,6,2005.5,9.9,Viscera,1102_Search_1,Wild,0.0225,0.022505063,0.150016874,27
59,Sprattus sprattus,Microscopy,35,54,15,2005.5,10.2,Viscera,1102_Search_1,Wild,0,0,0,27
60,Sprattus sprattus,Microscopy,35,45,13,2005.5,11.1,Viscera,1102_Search_1,Wild,0,0,0,37
61,Harpagifer antarcticus,Microscopy,2,-62.146634,-58.42127,1978.5,10,Viscera,1114_Search_1,Wild,0,0,0,48
62,Lindbergichthys nudifrons,Microscopy,36,-62.146634,-58.42127,1978.5,13.35,Viscera,1114_Search_1,Wild,0,0,0,48
63,Electrona antarctica,Microscopy,30,-61.179931,-54.914265,1979.5,13.5,Viscera,1114_Search_1,Wild,0.033,9.57E-09,9.78E-05,48
64,Pleuragramma antarctica,Microscopy,10,-62.146634,-58.42127,1978.5,14,Viscera,1114_Search_1,Wild,0,0,0,48
65,Nototheniops nybelini,Microscopy,17,-61.179931,-54.914265,1979.5,18,Viscera,1114_Search_1,Wild,0,0,0,48
66,Trematomus newnesi,Microscopy,32,-62.146634,-58.42127,1978.5,18.25,Viscera,1114_Search_1,Wild,0,0,0,48
67,Chionodraco hamatus,Microscopy,3,-61.179931,-54.914265,1979.5,18.5,Viscera,1114_Search_1,Wild,0,0,0,48
68,Trematomus lepidorhinus,Microscopy,3,-61.179931,-54.914265,1979.5,18.5,Viscera,1114_Search_1,Wild,0,0,0,48
69,Gymnoscopelus nicholsi,Microscopy,3,-62.146634,-58.42127,1978.5,19,Viscera,1114_Search_1,Wild,0,0,0,48
70,Nototheniops nybelini,Microscopy,3,-62.146634,-58.42127,1978.5,19,Viscera,1114_Search_1,Wild,0,0,0,48
71,Pleuragramma antarctica,Microscopy,10,-61.179931,-54.914265,1979.5,19,Viscera,1114_Search_1,Wild,0,0,0,48
72,Pagetopsis macropterus,Microscopy,2,-61.179931,-54.914265,1979.5,19.5,Viscera,1114_Search_1,Wild,0,0,0,48
73,Acanthodraco dewitti,Microscopy,1,-62.146634,-58.42127,1978.5,21,Viscera,1114_Search_1,Wild,0,0,0,48
74,Lycenchelys aratrirostris,Microscopy,3,-61.179931,-54.914265,1979.5,21.75,Viscera,1114_Search_1,Wild,0,0,0,48
75,Chaenodraco wilsoni,Microscopy,34,-61.179931,-54.914265,1979.5,22.5,Viscera,1114_Search_1,Wild,0,0,0,48
76,Gymnodraco acuticeps,Microscopy,2,-62.146634,-58.42127,1978.5,22.7,Viscera,1114_Search_1,Wild,0,0,0,48
77,Trematomus bernacchii,Microscopy,38,-62.146634,-58.42127,1978.5,23.1,Viscera,1114_Search_1,Wild,0,0,0,48
78,Muraenolepis microps,Microscopy,1,-61.179931,-54.914265,1979.5,25,Viscera,1114_Search_1,Wild,0,0,0,48
79,Neopagetopsis ionah,Microscopy,2,-61.179931,-54.914265,1979.5,26.25,Viscera,1114_Search_1,Wild,0,0,0,48
80,Trematomus eulepidotus,Microscopy,4,-61.179931,-54.914265,1979.5,27.5,Viscera,1114_Search_1,Wild,0.5,1.00E-08,1.00E-04,48
81,Trematomus hansoni,Microscopy,28,-62.146634,-58.42127,1978.5,28,Viscera,1114_Search_1,Wild,0,0,0,48
82,Gobionotothen gibberifrons,Microscopy,40,-62.146634,-58.42127,1978.5,28.5,Viscera,1114_Search_1,Wild,0,0,0,48
83,Notothenia rossii,Microscopy,73,-62.146634,-58.42127,1978.5,30,Viscera,1114_Search_1,Wild,0.04,2.73E-08,0.000165287,48
84,Pogonophryne marmorata,Microscopy,1,-61.179931,-54.914265,1979.5,30,Viscera,1114_Search_1,Wild,0,0,0,48
85,Notolepis sp,Microscopy,2,-61.179931,-54.914265,1979.5,31.5,Viscera,1114_Search_1,Wild,0,0,0,48
86,Cryodraco antarcticus,Microscopy,3,-61.179931,-54.914265,1979.5,33.5,Viscera,1114_Search_1,Wild,0,0,0,48
87,Cryodraco antarcticus,Microscopy,1,-62.146634,-58.42127,1978.5,35.5,Viscera,1114_Search_1,Wild,0,0,0,48
88,Champsocephalus gunnari,Microscopy,16,-62.146634,-58.42127,1978.5,36.35,Viscera,1114_Search_1,Wild,0,0,0,48
89,Chionodraco rastrospinosus,Microscopy,7,-62.146634,-58.42127,1978.5,36.5,Viscera,1114_Search_1,Wild,0,0,0,48
90,Notothenia coriiceps,Microscopy,308,-62.146634,-58.42127,1978.5,37,Viscera,1114_Search_1,Wild,0.05,0.050025,0.223662692,48
91,Champsocephalus gunnari,Microscopy,40,-61.179931,-54.914265,1979.5,37.25,Viscera,1114_Search_1,Wild,0,0,0,48
92,Lepidonotothen squamifrons,Microscopy,15,-61.179931,-54.914265,1979.5,37.5,Viscera,1114_Search_1,Wild,1.14,1.152996,1.073776513,48
93,Gobionotothen gibberifrons,Microscopy,42,-61.179931,-54.914265,1979.5,37.5,Viscera,1114_Search_1,Wild,0,0,0,48
94,Chionodraco rastrospinosus,Microscopy,13,-61.179931,-54.914265,1979.5,38.25,Viscera,1114_Search_1,Wild,0.08,9.97E-09,9.99E-05,48
95,Chaenocephalus aceratus,Microscopy,20,-62.146634,-58.42127,1978.5,43.6,Viscera,1114_Search_1,Wild,0.05,9.50E-09,9.75E-05,48
96,Notothenia rossii,Microscopy,16,-61.179931,-54.914265,1979.5,44,Viscera,1114_Search_1,Wild,16.31,18.97016104,4.355474835,48
97,Pseudochaenichthys georgianus,Microscopy,1,-61.179931,-54.914265,1979.5,51,Viscera,1114_Search_1,Wild,1,0,0,48
98,Dissostichus mawsoni,Microscopy,4,-61.179931,-54.914265,1979.5,52.5,Viscera,1114_Search_1,Wild,1.75,1.780625,1.334400615,48
99,Micromesistius australis,Microscopy,8,-61.179931,-54.914265,1979.5,53,Viscera,1114_Search_1,Wild,5.63,5.946969005,2.438640811,48
100,Chaenocephalus aceratus,Microscopy,49,-61.179931,-54.914265,1979.5,59,Viscera,1114_Search_1,Wild,0,0,0,48
101,Dissostichus mawsoni,Microscopy,1,-62.146634,-58.42127,1978.5,70,Viscera,1114_Search_1,Wild,0,0,0,48
102,Merluccius hubbsi,Candling and Microscopy,83,-41.91666667,-64.41666667,1999,35.16012,Whole,112_Search_1,Wild,17,19176.32,138.4785904,41
103,Merluccius hubbsi,Candling and Microscopy,115,-46.5,-61.75,1999,36.27819,Whole,112_Search_1,Wild,52.6,30180.6,173.7256458,41
104,Merluccius hubbsi,Candling and Microscopy,80,-46.5,-66.5,1998,36.68724,Whole,112_Search_1,Wild,16.6,17760.8,133.2696515,41
105,Merluccius hubbsi,Candling and Microscopy,66,-36.75,-54.75,1993,36.84177,Whole,112_Search_1,Wild,0.8,481.14,21.93490369,41
106,Micromesistius poutassou,Candling and Microscopy,200,42.25,-9.416666667,2000,21.8,Whole,1125_Search_1,Wild,10.149,142.563601,11.94000004,27
107,Micromesistius poutassou,Candling and Microscopy,200,42.25,-9.416666667,1999,22.8,Whole,1125_Search_1,Wild,11.984,116.4456839,10.79100013,27
108,Sepietta oweniana,Candling and Microscopy,122,37.5,-1,2011,2.15,Whole,1180_Search_1,Wild,0,0,0,37
109,Lobianchia dofleini,Candling and Microscopy,9,37.5,-1,2011,4.04,Whole,1180_Search_1,Wild,0,0,0,37
110,Benthosema glaciale,Candling and Microscopy,70,37.5,-1,2011,4.15,Whole,1180_Search_1,Wild,0,0,0,37
111,Diaphus holti,Candling and Microscopy,8,37.5,-1,2011,4.73,Whole,1180_Search_1,Wild,0,0,0,37
112,Myctophum punctatum,Candling and Microscopy,14,37.5,-1,2011,4.74299907,Whole,1180_Search_1,Wild,0,0,0,37
113,Alloteuthis media,Candling and Microscopy,670,37.5,-1,2011,4.78,Whole,1180_Search_1,Wild,0,0,0,37
114,Hygophum benoiti,Candling and Microscopy,4,37.5,-1,2011,5.38,Whole,1180_Search_1,Wild,0,0,0,37
115,Ceratoscopelus maderensis,Candling and Microscopy,390,37.5,-1,2011,5.89,Whole,1180_Search_1,Wild,0.01,0,0,37
116,Notoscopelus elongatus,Candling and Microscopy,222,37.5,-1,2011,9.9816381,Whole,1180_Search_1,Wild,1.17,1.47938359,1.216299137,37
117,Lampanyctus crocodilus,Candling and Microscopy,295,37.5,-1,2011,11.4075,Whole,1180_Search_1,Wild,0,0,0,37
118,Clupea harengus,Microscopy,210,58.468684,20.034167,2009,19.0720096,Viscera,1181_Search_1,Wild,0.0638,0.063840704,0.252667181,27
119,Engraulis encrasicolus,Digestion,396,34.957447,-7.3469386,1998.5,13,Whole,119_Search_1,Wild,0.2,0.336595494,0.580168505,34
120,Engraulis encrasicolus,Digestion,72,34.340427,-3.239796,1998.5,13.9,Whole,119_Search_1,Wild,0.01,5.11E-09,7.15E-05,37
121,Engraulis encrasicolus,Digestion,157,38.234043,3.010204,1998.5,13.9,Whole,119_Search_1,Wild,0.03,0.005745005,0.075795813,37
122,Engraulis encrasicolus,Digestion,103,39.765957,5.255102,1998.5,13.9,Whole,119_Search_1,Wild,0.06,0.002681266,0.051780946,37
123,Engraulis encrasicolus,Digestion,64,40.12766,8.67347,1998.5,13.9,Whole,119_Search_1,Wild,0.78,1.183697624,1.087978687,37
124,Trachurus picturatus,Microscopy,50,28.26861111,-16.60555556,2009,16.81,Viscera,1190_Search_1,Wild,0.04,1.92E-08,0.000138564,34
125,Trachurus picturatus,Microscopy,50,33.125,-16.275,2009,19.21,Viscera,1190_Search_1,Wild,0.04,2.14E-08,0.000146363,34
126,Trachurus picturatus,Microscopy,50,28.26861111,-16.60555556,2009,20.24,Viscera,1190_Search_1,Wild,0.1,0.1001,0.31638584,34
127,Trachurus picturatus,Microscopy,50,33.125,-16.275,2009,22.7,Viscera,1190_Search_1,Wild,1.31,1.327161,1.152024739,34
128,Gadus morhua,Microscopy,111,47.205845,-63.800103,2004.5,33.09435,Whole,1200_Search_1,Wild,0.79,1.8759,1.369634988,21
129,Gadus morhua,Microscopy,127,46.005122,-58.663269,2006,33.3141,Whole,1200_Search_1,Wild,1.9,3.2512,1.803108427,21
130,Gadus morhua,Microscopy,110,46.859401,-61.512767,2004.5,33.47232,Whole,1200_Search_1,Wild,1.5,4.851,2.202498581,21
131,Gadus morhua,Microscopy,122,46.615552,-60.098007,2006,33.7536,Whole,1200_Search_1,Wild,2.2,5.3802,2.319525814,21
132,Lophius piscatorius,Microscopy,157,43,-6,2007,20.5325911,Viscera,1203_Search_1,Wild,14.6,3164.84798,56.25698161,27
133,Lophius budegassa,Microscopy,39,43,-6,2007,38.4281336,Viscera,1203_Search_1,Wild,59.1,10009.48563,100.0474169,27
134,Aphanopus carbo,Microscopy,30,38.425169,-9.090016,2005,97.8,Viscera,1206_Search_1,Wild,112.6,8353.96,91.4,27
135,Aphanopus carbo,Microscopy,30,38.425169,-9.090016,2005,98.3,Viscera,1206_Search_1,Wild,88.3,5610.01,74.9,27
136,Aphanopus carbo,Microscopy,29,38.425169,-9.090016,2006,98.7,Viscera,1206_Search_1,Wild,128.4,20391.84,142.8,27
137,Aphanopus carbo,Microscopy,25,38.769465,-28.605325,2006,101.9,Viscera,1206_Search_1,Wild,65.2,852.64,29.2,27
138,Aphanopus carbo,Microscopy,27,38.425169,-9.090016,2006,101.9,Viscera,1206_Search_1,Wild,290.1,220524.16,469.6,27
139,Aphanopus carbo,Microscopy,30,32.768529,-16.531411,2005,109.4,Viscera,1206_Search_1,Wild,173.3,25504.09,159.7,34
140,Aphanopus carbo,Microscopy,30,32.768529,-16.531411,2006,110.9,Viscera,1206_Search_1,Wild,437.9,85790.41,292.9,34
141,Aphanopus carbo,Microscopy,30,32.768529,-16.531411,2006,111.4,Viscera,1206_Search_1,Wild,244.9,26406.25,162.5,34
142,Aphanopus carbo,Microscopy,26,38.769465,-28.605325,2005,111.9,Viscera,1206_Search_1,Wild,42.6,353.44,18.8,27
143,Aphanopus carbo,Microscopy,30,32.768529,-16.531411,2005,112.4,Viscera,1206_Search_1,Wild,159.4,9063.04,95.2,34
144,Genyonemus lineatus,Microscopy,49,33.4756,-117.752,1998.5,15.5868,Viscera,1223_Search_1,Wild,4.9,7.84,2.8,77
145,Genyonemus lineatus,Microscopy,25,33.71083333,-118.2346667,1998.5,15.7544,Viscera,1223_Search_1,Wild,2.2,3.097600165,1.760000047,77
146,Genyonemus lineatus,Microscopy,40,33.71433333,-118.2435,1998.5,16.0058,Viscera,1223_Search_1,Wild,1.387,1.918440285,1.385077718,77
147,Genyonemus lineatus,Microscopy,11,33.726,-118.235,1998.5,16.4248,Viscera,1223_Search_1,Wild,1.968,2.662704094,1.631779426,77
148,Genyonemus lineatus,Microscopy,34,33.72266667,-118.2426667,1998.5,16.5924,Viscera,1223_Search_1,Wild,1.562,1.542546339,1.24199289,77
149,Reinhardtius hippoglossoides,Microscopy,94,74.83333333,15.19666667,2006,59,Whole,1280_Search_1,Wild,38.9624,54.14308637,7.358198582,27
150,Caulolatilus princeps,Microscopy,91,30.56027778,-115.9425,2005,44,Viscera,1295_Search_1,Wild,12.4,22.09,4.7,77
151,Gadus morhua,Microscopy,82,54.25833333,14.54166667,2002,37.06,Viscera,1298_Search_1,Wild,2.19,29.72115785,5.451711461,27
152,Gadus morhua,Microscopy,60,73.5,19.03333333,2002,42.068,Viscera,1298_Search_1,Wild,0.18,0.826218242,0.908965479,27
153,Acipenser gueldenstaedtii,Microscopy,78,38.873086,51.368335,2000,147.98,Viscera,1317_Search_1,Wild,1.5,0.3364,0.58,37
154,Huso huso,Microscopy,6,38.873086,51.368335,2000,201.66,Viscera,1317_Search_1,Wild,0.83,4.1616,2.04,37
155,Bathyraja spinicauda,Microscopy,11,73.5,15.5,1996,40.8,Viscera,1326_Search_1,Wild,3.89961,4.051679584,2.012878432,27
156,Amblyraja radiata,Microscopy,47,73.5,15.5,1996,43.66,Viscera,1326_Search_1,Wild,9.76976,10.72424212,3.274788866,27
157,Amblyraja hyperborea,Microscopy,11,73.5,15.5,1996,68,Viscera,1326_Search_1,Wild,14.9,17.12010003,4.137644261,27
158,Centrophorus squamosus,Microscopy,57,32.37222222,-16.275,2009.5,111.4,Viscera,1371_Search_1,Wild,0.087,0.000282982,0.016822083,34
159,Pagrus pagrus,Microscopy,100,-22.87861111,-42.02,2012,24.43495,Viscera,1373_Search_1,Wild,5,100,10,41
160,Aphos porosus,Microscopy,22,-32.45,-71.63333333,1999,23.6,Whole,1412_Search_1,Wild,0.09,0.1849,0.43,87
161,Aphos porosus,Microscopy,49,-32.45,-71.63333333,2007,25.1,Whole,1412_Search_1,Wild,1.65,7.7841,2.79,87
162,Aphos porosus,Microscopy,30,-32.45,-71.63333333,2006,26.8,Whole,1412_Search_1,Wild,0.33,0.4356,0.66,87
163,Hippoglossoides platessoides,Microscopy,128,46.576033,-60.220958,2004,22.17,Whole,1417_Search_1,Wild,0.23,0.2048,0.45254834,21
164,Hippoglossoides platessoides,Microscopy,95,46.442226,-61.670575,2004,32.31,Whole,1417_Search_1,Wild,0.08,0.0855,0.29240383,21
165,Hippoglossoides platessoides,Microscopy,137,47.406599,-63.976319,2004,32.34,Whole,1417_Search_1,Wild,0.13,0.1233,0.351140997,21
166,Hippoglossoides platessoides,Microscopy,77,45.772401,-59.136008,2004,32.88,Whole,1417_Search_1,Wild,0.21,0.1925,0.438748219,21
167,Hippoglossoides platessoides,Microscopy,46,46.39974,-59.580972,2004,35.5,Whole,1417_Search_1,Wild,0.19,0.2254,0.474763099,21
168,Raja microocellata,Microscopy,52,42.63333333,-9.1,1999.5,51.07692308,Viscera,1419_Search_1,Wild,0.1,0.09,0.3,27
169,Raja brachyura,Microscopy,60,42.63333333,-9.1,1999.5,53.63333333,Viscera,1419_Search_1,Wild,0.1,0.25,0.5,27
170,Mallotus villosus,Microscopy,25,48.38083,-64.57198,1994,13.39153326,Whole,1447_Search_1,Wild,0.156,0.005184045,0.07200031,21
171,Mallotus villosus,Microscopy,25,50.168392,-66.14786,1994,13.8209211,Whole,1447_Search_1,Wild,0.204,0.020736076,0.144000265,21
172,Mallotus villosus,Microscopy,25,48.04404,-69.41634,1994,13.9103769,Whole,1447_Search_1,Wild,0.28,5.04E-08,0.000224499,21
173,Mallotus villosus,Microscopy,25,50.246113,-63.65759,1994,13.9103769,Whole,1447_Search_1,Wild,0.288,0.009216066,0.096000342,21
174,Mallotus villosus,Microscopy,25,51.515545,-57.354084,1994,14.0445606,Whole,1447_Search_1,Wild,0.12,2.64E-08,0.000162481,21
175,Engraulis encrasicolus,Microscopy,271,42.10833333,3.334306,2011.5,12.27073333,Whole,1475_Search_1,Wild,0.044254,0.000148478,0.012185147,37
176,Trachurus trachurus,Microscopy,84,39.163828,26.206596,2006.5,23,Viscera,1520_Search_1,Wild,119.5496429,1554.33077,39.42500183,37
177,Bathylagus euryops,Microscopy,86,52.36316667,-32.20866667,2004,13.6,Viscera,1545_Search_1,Wild,0.06,0.0784,0.28,27
178,Epinephelus morio,Microscopy,23,21.1703,-90.1377,1995.5,25,Whole,155_Search_1,Wild,0,0,0,31
179,Epinephelus morio,Microscopy,25,21.259588,-89.805985,1995.5,26.5,Whole,155_Search_1,Wild,0,0,0,31
180,Epinephelus morio,Microscopy,7,21.299262,-89.608172,1995.5,28.5,Whole,155_Search_1,Wild,0,0,0,31
181,Epinephelus morio,Microscopy,38,21.3038,-89.8575,1995.5,29,Whole,155_Search_1,Wild,0.04,1.46E-08,0.000120797,31
182,Epinephelus morio,Microscopy,27,21.6679,-88.0597,1995.5,30.5,Whole,155_Search_1,Wild,0,0,0,31
183,Epinephelus morio,Microscopy,27,20.8536,-90.3963,1995.5,34.5,Whole,155_Search_1,Wild,0,0,0,31
184,Epinephelus morio,Microscopy,21,21.6815,-87.2901,1995.5,37.5,Whole,155_Search_1,Wild,0.05,9.98E-09,9.99E-05,31
185,Epinephelus morio,Microscopy,4,21.3863,-89.6186,1995.5,39,Whole,155_Search_1,Wild,0,0,0,31
186,Epinephelus morio,Microscopy,13,19.9372,-90.4857,1995.5,46.5,Whole,155_Search_1,Wild,0.01,1.29E-09,3.59E-05,31
187,Epinephelus morio,Microscopy,17,21.4699,-89.1302,1995.5,50.5,Whole,155_Search_1,Wild,0,0,0,31
188,Phycis blennoides,Microscopy,12,39.81666667,2.346666667,2010,15.49679,Whole,1593_Search_1,Wild,0,0,0,37
189,Phycis blennoides,Microscopy,15,39.3075,1.3225,2011,19.06484,Whole,1593_Search_1,Wild,0.07,0.0676,0.26,37
190,Phycis blennoides,Microscopy,15,40.76222222,1.547777778,2011,19.14413,Whole,1593_Search_1,Wild,0,0,0,37
191,Phycis blennoides,Microscopy,28,41.175,2.41,2007,21.32901,Whole,1593_Search_1,Wild,0.11,0.0676,0.26,37
192,Phycis blennoides,Microscopy,24,41.195,2.43,2007,22.21001,Whole,1593_Search_1,Wild,0.04,0.04,0.2,37
193,Phycis blennoides,Microscopy,21,41.18666667,2.413333333,2007,22.57122,Whole,1593_Search_1,Wild,0,0,0,37
194,Phycis blennoides,Microscopy,12,41.1975,2.44,2007,23.11744,Whole,1593_Search_1,Wild,0,0,0,37
195,Phycis blennoides,Microscopy,35,41.09666667,2.156666667,2007,23.54913,Whole,1593_Search_1,Wild,0,0,0,37
196,Phycis blennoides,Microscopy,5,40.775,1.675,2011,26.83526,Whole,1593_Search_1,Wild,0.2,0.2025,0.45,37
197,Phycis blennoides,Microscopy,11,39.3075,1.3225,2011,28.97609,Whole,1593_Search_1,Wild,0.09,0.09,0.3,37
198,Phycis blennoides,Microscopy,5,39.81666667,2.346666667,2010,32.20936,Whole,1593_Search_1,Wild,0.6,0.9946,0.997296345,37
199,Phycis blennoides,Microscopy,5,40.76222222,1.547777778,2011,36.63198,Whole,1593_Search_1,Wild,0.8,0.505,0.71063352,37
